Insee - Statistiques locales; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; 
Code;Libellé;Population municipale 2022;Nombre de naissances domiciliées 2023;Part des emplois sal. dans le nb d’emplois au LT 2021;Nb d'hôtels 2024;Nb de chambres dans les hôtels 2024;Part des actifs occ 15 ans ou plus voiture pour travailler 2021;Part des actifs occ 15 ans ou plus vélo pour travailler 2021;Part des ménages ayant au moins 1 voiture 2021
01001;L'Abergement-Clémenciat;859;11;59.7;0;0;90.7;0.2;97.2
01002;L'Abergement-de-Varey;273;1;35.4;0;0;85.1;0;95.2
01004;Ambérieu-en-Bugey;15554;200;88.8;1;34;70.9;2.2;84.8
01005;Ambérieux-en-Dombes;1917;28;65.9;2;20;89.3;0.1;96.5
01006;Ambléon;114;1;60;0;0;91.5;0;96.5
01007;Ambronay;2828;29;76.6;0;0;85.6;0.7;94.9
01008;Ambutrix;764;11;69.2;0;0;86.9;0.5;98.1
01009;Andert-et-Condon;335;2;29;0;0;90.1;0.9;95.6
01010;Anglefort;1150;17;86.8;1;15;91.7;1.1;96.5
01011;Apremont;399;1;63.4;0;0;93.7;0;98.4
01012;Aranc;329;3;76.5;1;9;80.1;0.7;95.3
01013;Arandas;140;1;28.3;0;0;63.9;0;98.6
01014;Arbent;3482;28;90.3;1;10;90.4;0.6;93.5
01015;Arboys en Bugey;688;4;57.9;0;0;90.6;1.5;92.7
01016;Arbigny;459;4;56.1;1;19;91.6;1;94.4
01017;Argis;420;2;68.9;0;0;81.7;1.2;94.2
01019;Armix;25;0;100;0;0;66.7;0;100
01021;Ars-sur-Formans;1513;11;67.5;1;43;85.7;0.5;95.5
01022;Artemare;1141;8;75.1;1;6;86;1.3;89
01023;Asnières-sur-Saône;77;1;78.3;0;0;91.7;0;97.1
01024;Attignat;3372;28;85.4;0;0;91.2;0.9;95.9
01025;Bâgé-Dommartin;4057;23;81.9;0;0;91.3;0.2;96.8
01026;Bâgé-le-Châtel;987;12;80.4;0;0;89.7;0.2;91.7
01027;Balan;2878;26;94.1;0;0;55.8;2.6;98.2
01028;Baneins;618;4;59;0;0;91.3;0.4;98
01029;Beaupont;717;1;85.6;0;0;85.9;1.1;97.8
01030;Beauregard;826;12;65.6;0;0;90;0.5;92.9
