Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2023/01/01 00:00:00;2023/01/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04051;ARGENTEUIL;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;12.0;12.2708333333;µg-m3;100.0;100;100.0;A;1;48.95139;2.223611
2023/01/02 00:00:00;2023/01/02 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04051;ARGENTEUIL;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;24.0;24.4916666667;µg-m3;100.0;100;100.0;A;1;48.95139;2.223611
2023/01/03 00:00:00;2023/01/03 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04051;ARGENTEUIL;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;18.0;17.6173913043;µg-m3;96.0;100;96.0;R;1;48.95139;2.223611
2023/01/04 00:00:00;2023/01/04 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04051;ARGENTEUIL;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;9.6;9.5833333333;µg-m3;100.0;100;100.0;A;1;48.95139;2.223611
2023/01/05 00:00:00;2023/01/05 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04051;ARGENTEUIL;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;17.0;17.1875;µg-m3;100.0;100;100.0;A;1;48.95139;2.223611
2023/01/06 00:00:00;2023/01/06 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04051;ARGENTEUIL;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;15.0;14.6291666667;µg-m3;100.0;100;100.0;A;1;48.95139;2.223611
2023/01/07 00:00:00;2023/01/07 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04051;ARGENTEUIL;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;9.3;9.2875;µg-m3;100.0;100;100.0;A;1;48.95139;2.223611
2023/01/08 00:00:00;2023/01/08 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04051;ARGENTEUIL;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;7.1;7.1458333333;µg-m3;100.0;100;100.0;A;1;48.95139;2.223611
2023/01/09 00:00:00;2023/01/09 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04051;ARGENTEUIL;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;12.0;12.2458333333;µg-m3;100.0;100;100.0;A;1;48.95139;2.223611
2023/01/10 00:00:00;2023/01/10 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04051;ARGENTEUIL;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;19.0;19.3333333333;µg-m3;100.0;100;100.0;A;1;48.95139;2.223611
2023/01/11 00:00:00;2023/01/11 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04051;ARGENTEUIL;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;13.0;12.9;µg-m3;100.0;100;100.0;A;1;48.95139;2.223611
2023/01/12 00:00:00;2023/01/12 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04051;ARGENTEUIL;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;9.4;9.3666666667;µg-m3;100.0;100;100.0;A;1;48.95139;2.223611
2023/01/13 00:00:00;2023/01/13 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04051;ARGENTEUIL;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;14.0;14.0916666667;µg-m3;100.0;100;100.0;A;1;48.95139;2.223611
2023/01/14 00:00:00;2023/01/14 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04051;ARGENTEUIL;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;7.3;7.2625;µg-m3;100.0;100;100.0;A;1;48.95139;2.223611
2023/01/15 00:00:00;2023/01/15 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04051;ARGENTEUIL;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;5.5;5.4541666667;µg-m3;100.0;100;100.0;A;1;48.95139;2.223611
2023/01/16 00:00:00;2023/01/16 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04051;ARGENTEUIL;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;13.0;12.9208333333;µg-m3;100.0;100;100.0;A;1;48.95139;2.223611
2023/01/17 00:00:00;2023/01/17 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04051;ARGENTEUIL;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;26.0;25.6913043478;µg-m3;96.0;100;96.0;R;1;48.95139;2.223611
2023/01/18 00:00:00;2023/01/18 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04051;ARGENTEUIL;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;29.0;29.2916666667;µg-m3;100.0;100;100.0;A;1;48.95139;2.223611
2023/01/19 00:00:00;2023/01/19 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04051;ARGENTEUIL;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;30.0;30.4708333333;µg-m3;100.0;100;100.0;A;1;48.95139;2.223611
2023/01/20 00:00:00;2023/01/20 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04051;ARGENTEUIL;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;25.0;25.375;µg-m3;100.0;100;100.0;A;1;48.95139;2.223611
2023/01/21 00:00:00;2023/01/21 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04051;ARGENTEUIL;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;14.0;13.7875;µg-m3;100.0;100;100.0;A;1;48.95139;2.223611
2023/01/22 00:00:00;2023/01/22 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04051;ARGENTEUIL;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;12.0;11.6541666667;µg-m3;100.0;100;100.0;A;1;48.95139;2.223611
2023/01/23 00:00:00;2023/01/23 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04051;ARGENTEUIL;Urbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;15.0;14.9916666667;µg-m3;100.0;100;100.0;A;1;48.95139;2.223611
