Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2023/01/01 00:00:00;2023/01/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;2.8;2.84;µg-m3;42.0;100;42.0;N;-1;48.799168;2.130556
2023/01/02 00:00:00;2023/01/02 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;0.0;0.0;µg-m3;0.0;100;0.0;N;-1;48.799168;2.130556
2023/01/03 00:00:00;2023/01/03 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;0.0;0.0;µg-m3;0.0;100;0.0;N;-1;48.799168;2.130556
2023/01/04 00:00:00;2023/01/04 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;6.1;6.1384615385;µg-m3;54.0;100;54.0;N;-1;48.799168;2.130556
2023/01/05 00:00:00;2023/01/05 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;9.9;9.8541666667;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2023/01/06 00:00:00;2023/01/06 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;6.5;6.5041666667;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2023/01/07 00:00:00;2023/01/07 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;3.8;3.8375;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2023/01/08 00:00:00;2023/01/08 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;3.3;3.2708333333;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2023/01/09 00:00:00;2023/01/09 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;8.9;8.925;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2023/01/10 00:00:00;2023/01/10 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;8.1;8.1041666667;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2023/01/11 00:00:00;2023/01/11 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;9.6;9.6041666667;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2023/01/12 00:00:00;2023/01/12 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;6.1;6.0833333333;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2023/01/13 00:00:00;2023/01/13 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;8.0;7.9833333333;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2023/01/14 00:00:00;2023/01/14 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;4.3;4.2583333333;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2023/01/15 00:00:00;2023/01/15 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;3.5;3.5458333333;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2023/01/16 00:00:00;2023/01/16 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;9.8;9.7541666667;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2023/01/17 00:00:00;2023/01/17 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;31.0;30.5954545455;µg-m3;92.0;100;92.0;A;1;48.799168;2.130556
2023/01/18 00:00:00;2023/01/18 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;22.0;22.2958333333;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2023/01/19 00:00:00;2023/01/19 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;17.0;17.4416666667;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2023/01/20 00:00:00;2023/01/20 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;21.0;21.1125;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2023/01/21 00:00:00;2023/01/21 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;19.0;19.3666666667;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2023/01/22 00:00:00;2023/01/22 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;15.0;14.6916666667;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2023/01/23 00:00:00;2023/01/23 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;18.0;17.9333333333;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2023/01/24 00:00:00;2023/01/24 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;24.0;24.3416666667;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2023/01/25 00:00:00;2023/01/25 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;NO2;Fond;Oui;mesures fixes;Moy. journalière;22.0;22.2833333333;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
